"","S02_Normal","S03_Normal","S05_Normal","S06_Normal","S10_Normal","S02_Tumour","S03_Tumour","S05_Tumour","S06_Tumour","S10_Tumour"
"MOK",14.2119057311504,5.90336654547678,0,6.30946203247677,17.7351951743445,0,0,0,0,13.6980460634395
"MTFR1",251.077001250323,283.361594182885,269.494049871078,259.589295050473,297.697918997926,150.20796264308,158.239319164242,143.996657393868,119.507097692432,140.716291378969
"MYO1C",1012.20350818526,1229.86803030766,946.078809517199,2147.01979447995,1711.44633432425,1189.78679247054,800.384685321067,587.599263236269,384.238010302251,1053.50426996998
"NFATC4",491.100298043085,234.166872970579,302.875488072632,584.075913863564,225.490338645237,413.595878533504,272.579988495823,185.027962995347,186.068012862901,186.79153722872
"MBNL2",501.364452182249,568.690977214263,340.327833371936,696.744878729221,787.315985775365,489.0491806984,379.77436599418,318.960337883192,904.623347089551,748.411425829739
"MLLT11",64.7431261085738,43.2913546668297,37.4523452993039,201.001433320331,88.0425760440674,71.960093731336,67.3793229989674,72.7725042743205,124.045341908601,32.3771997863115
"MRPL42",54.4789719694097,7.87115539396904,23.6112611669525,12.6189240649535,30.4031917274477,61.480468430656,0,13.935160392955,0,163.131275846416
"NCAPG",55.2685222878069,33.4524104243684,12.2127212932513,13.5202757838788,27.8695924168271,13.97283373424,69.4211206656028,225.285093019439,116.48160154832,115.810753081806
"NPLOC4",1198.53738332701,1064.57376703431,1017.72677443761,1046.46934567222,994.437729418603,991.372553444327,1075.00647148353,1088.49086180526,1252.55540366246,596.487642217046
"MED21",55.2685222878069,17.7100996364303,26.8679868451528,21.6324412542061,54.4723851783438,64.973676864216,22.4597743329891,27.87032078591,0,51.0563535091835
"MOB1B",311.872375766911,257.780339152486,161.207921070917,182.073047222901,245.125733302547,179.550913484984,93.9226926652273,185.802138572733,48.4079383057954,217.923460100174
"MTERF3",54.4789719694097,41.3235658183374,8.14181419550085,69.4040823572445,63.3399827655161,16.068758794376,17.3552801664007,13.935160392955,0,41.0941381903184
"MYC",534.525565554933,733.985240487612,744.161817468778,805.808436719176,781.615387326469,676.983794423928,1587.497685809,1710.92802602392,2210.12493327397,1652.48246601674
"NDUFB5",216.336787240844,332.556315395192,291.47694819893,263.194701926174,375.60609779951,224.962623121264,427.756611160111,326.702093657056,479.541138841785,195.508475632727
"NUDT21",304.766422901335,383.71882545599,254.838784319177,375.863666791831,321.133712621167,321.37517588752,350.168299827967,262.445520733986,151.274807205611,226.64039850418
"MKNK1",83.6923337501077,41.3235658183374,0,28.8432550056081,51.305386040068,41.91850120272,0,16.2576871251142,0,52.3016304240416
"MRPL19",131.065352853942,116.099542061043,144.110111260365,98.2473373628526,125.413165875722,133.440562161992,68.4002218322851,159.480168941596,63.5354190263564,110.829645422374
"NBN",142.908607629901,194.811096000734,180.748275140119,192.889267850004,192.553547607169,105.494894693512,51.0449416658844,119.99721449489,0,149.433229782976
"NNT",339.506636910814,171.197629818826,67.577057822657,199.198729882481,408.542888837579,280.853958058224,160.281116830877,309.670230954556,21.1784730087855,311.319228714534
"ME2",82.9027834317104,5.90336654547678,130.269027128014,27.9419032866828,98.8103731142051,40.521217829296,63.2957276656966,12.3868092381822,0,23.6602613823046
"MMP3",76.5863808845325,11.8067330909536,357.425643182487,30.6459584434586,38.0039896593097,1378.42004788277,391.004253160674,1125.65128951981,166.402287926172,875.429671145268
"PCNA",14.2119057311504,21.6456773334148,1.62836283910017,22.5337929731313,34.8369905210339,18.164683854512,22.4597743329891,11.6126336607958,0,37.358307445744
"PIK3C3",135.013104445928,49.1947212123065,26.8679868451528,83.8257098600485,122.246166737446,136.23512890884,39.8150544993898,106.062054101935,0,97.1315993589345
"PON2",34.7402140094786,23.6134661819071,9.77017703460102,23.4351446920566,27.8695924168271,11.178266987392,0,29.4186719406828,0,2.49055382971627
"PPP2R5A",7.10595286557518,45.259143515322,21.9828983278523,18.9283860974303,51.305386040068,6.287775180408,31.6478638328483,25.5477940537508,0,39.8488612754603
"NUS1",7.10595286557518,66.9048208487368,29.3105311038031,25.2378481299071,60.1729836272403,44.014426262856,39.8150544993898,61.1598706135247,0,92.1504916995019
"PAFAH1B1",806.920425401981,761.534284366504,768.58726005528,822.032767659831,1024.84092114605,876.795316823559,645.208062656779,621.66298864127,521.898084859356,982.523485823068
"PEX11A",18.9492076415338,70.8403985457213,19.540354069202,14.421627502804,33.5701908657235,0,28.5851673328953,0,0,12.4527691485813
"PLP1",12.6328050943559,9.83894424246129,16.2836283910017,14.421627502804,8.86759758717225,0,0,0,54.4589305940198,0
"PPID",34.7402140094786,17.7100996364303,23.6112611669525,16.2243309406546,20.2687944849652,44.014426262856,20.4179766663538,0,0,17.4338768080139
"OTUD5",173.701070047393,255.812550303994,198.660266370221,163.144661125471,167.850954328618,157.893021196912,277.684482662411,235.349375525462,189.093509007013,190.527367973295
"PCF11",697.172931144765,393.557769698452,500.721573023302,374.06096335398,475.049870741371,405.910819979672,609.47660349066,526.439392622744,936.391056602729,428.375258711198
"POLR2E",8.68505350236966,5.90336654547678,17.9119912301019,5.40811031355152,5.70059844889645,0,0,0,18.1529768646733,9.96221531886508
"PPP2CA",626.113402489013,903.215081457947,709.966197847674,817.526009065205,1026.10772080136,661.613677316264,1313.89679847986,2094.14493683018,1880.34585356574,1564.06780506182
